customer_id,first_name,last_name,email,signup_date,region
1,Alice,Johnson,alice.johnson@example.com,2023-01-15,"North America"
2,Bob,Smith,bob.smith@example.com,2023-02-20,Europe
3,Clara,Brown,clara.brown@example.com,2023-03-12,Asia
4,David,Miller,david.miller@example.com,2023-04-08,"South America"
5,Emma,Davis,emma.davis@example.com,2023-05-19,Europe
6,Frank,Wilson,frank.wilson@example.com,2023-06-03,"North America"
7,Grace,Taylor,grace.taylor@example.com,2023-07-07,Oceania
8,Henry,Anderson,henry.anderson@example.com,2023-08-12,Asia
9,Ivy,Clark,ivy.clark@example.com,2023-09-15,"North America"
10,Jack,Lopez,jack.lopez@example.com,2023-10-10,Europe
11,Kylie,White,kylie.white@example.com,2023-11-01,"South America"
12,Liam,Hall,liam.hall@example.com,2023-11-05,Europe
